wavelength,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10
350,0,0,0,0,0,0,0,0,0,0
352.5,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0
357.5,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0
362.5,2.03E-04,6.91E-05,1.42E-04,2.27E-05,0,0,0,4.81E-05,6.10E-06,2.37E-05
365,4.07E-04,1.38E-04,2.85E-04,4.53E-05,0,0,0,9.61E-05,1.22E-05,4.73E-05
367.5,6.10E-04,2.07E-04,4.27E-04,6.80E-05,0,0,0,1.44E-04,1.83E-05,7.10E-05
370,8.13E-04,2.76E-04,5.69E-04,9.06E-05,0,0,0,1.92E-04,2.44E-05,9.46E-05
372.5,6.28E-04,2.57E-04,5.23E-04,7.62E-05,0,0,0,1.60E-04,4.18E-05,7.27E-05
375,4.43E-04,2.38E-04,4.76E-04,6.17E-05,0,0,0,1.29E-04,5.93E-05,5.07E-05
377.5,2.58E-04,2.19E-04,4.29E-04,4.72E-05,0,0,0,9.67E-05,7.67E-05,2.88E-05
380,7.35E-05,2.00E-04,3.82E-04,3.28E-05,0,0,0,6.49E-05,9.41E-05,6.84E-06
382.5,1.71E-04,2.05E-04,3.54E-04,7.62E-05,0,0,0,7.48E-05,9.02E-05,1.11E-05
385,2.68E-04,2.10E-04,3.25E-04,1.20E-04,0,0,0,8.48E-05,8.62E-05,1.54E-05
387.5,3.66E-04,2.15E-04,2.96E-04,1.63E-04,0,0,0,9.48E-05,8.22E-05,1.97E-05
390,4.63E-04,2.20E-04,2.68E-04,2.06E-04,0,0,0,1.05E-04,7.83E-05,2.39E-05
392.5,4.66E-04,1.86E-04,5.55E-04,1.67E-04,0,0,0,1.20E-04,6.38E-05,4.34E-05
395,4.69E-04,1.52E-04,8.42E-04,1.28E-04,0,0,0,2.08E-04,4.94E-05,6.30E-05
397.5,4.72E-04,1.19E-04,0.001129741,8.82E-05,0,0,0,0.001185543,3.49E-05,8.25E-05
400,4.75E-04,8.51E-05,0.00141712,4.88E-05,0,0,0,0.00710817,2.05E-05,1.02E-04
402.5,3.95E-04,6.63E-05,0.001337915,3.66E-05,0,0,0,0.089559289,3.65E-05,5.70E-04
405,3.15E-04,4.75E-05,0.00125871,2.44E-05,0,0,0,0.500788422,5.25E-05,0.001037157
407.5,2.34E-04,2.88E-05,0.001179505,1.22E-05,0,0,0,0.625363433,6.86E-05,0.001504754
410,1.54E-04,9.99E-06,0.0011003,1.00E-08,0,0,0,0.732832545,8.46E-05,0.00197235
412.5,1.34E-04,1.67E-05,0.001021095,8.47E-06,0,0,0,0.527679572,1.01E-04,0.002641965
415,1.15E-04,2.34E-05,9.42E-04,1.69E-05,0,0,0,0.823845104,1.17E-04,0.00331158
417.5,9.54E-05,3.01E-05,8.63E-04,2.54E-05,0,0,0,0.890378066,1.33E-04,0.003981195
420,7.59E-05,3.68E-05,7.83E-04,3.38E-05,0,0,0,0.326322644,1.49E-04,0.00465081
422.5,8.27E-05,3.62E-05,7.04E-04,4.67E-05,0,0,0,0.041213634,1.65E-04,0.003726931
425,8.95E-05,3.56E-05,6.25E-04,5.96E-05,0,0,0,0.003643154,1.81E-04,0.002803052
427.5,9.62E-05,3.50E-05,5.46E-04,7.26E-05,0,0,0,6.60E-04,1.97E-04,0.001879173
430,1.03E-04,3.44E-05,4.67E-04,8.55E-05,0,0,0,1.66E-04,6.82E-04,9.55E-04
432.5,1.01E-04,3.26E-05,3.87E-04,6.67E-05,0,0,0,9.98E-05,0.005133296,8.89E-04
435,9.83E-05,3.08E-05,3.08E-04,4.79E-05,0,0,0,8.82E-05,0.101779552,8.23E-04
437.5,9.60E-05,2.90E-05,2.29E-04,2.92E-05,0,0,0,7.65E-05,0.509571406,7.57E-04
440,9.36E-05,2.73E-05,1.50E-04,1.04E-05,0,0,0,6.49E-05,0.922379104,6.91E-04
442.5,7.27E-05,2.53E-05,2.66E-04,1.11E-05,0,0,0,6.75E-05,0.999665026,7.61E-04
445,5.18E-05,2.33E-05,4.60E-04,1.19E-05,0,0,0,7.00E-05,0.943830942,8.32E-04
447.5,3.08E-05,2.13E-05,0.001070715,1.26E-05,0,0,0,7.25E-05,0.388382501,9.03E-04
450,9.93E-06,1.93E-05,0.00389822,1.33E-05,0,0,0,7.51E-05,0.037393207,9.73E-04
452.5,2.26E-05,1.53E-05,0.024041085,3.89E-05,0,0,0,8.55E-05,0.001438807,0.00111459
455,3.53E-05,1.13E-05,0.184836816,6.45E-05,0,0,0,9.59E-05,1.22E-04,0.001255914
457.5,4.79E-05,7.34E-06,0.670214693,9.02E-05,0,0,0,1.06E-04,3.13E-05,0.001397237
460,6.06E-05,3.36E-06,0.988318904,1.16E-04,0,0,0,1.17E-04,3.74E-05,0.00153856
462.5,6.39E-05,9.67E-06,0.930782491,4.48E-04,0,0,0,1.37E-04,3.34E-05,0.001563842
465,6.71E-05,1.60E-05,0.855325962,7.80E-04,0,0,0,1.57E-04,2.93E-05,0.001589124
467.5,7.04E-05,2.23E-05,0.867525553,0.001112152,0,0,0,1.77E-04,2.53E-05,0.001614407
470,7.36E-05,2.86E-05,0.918168677,0.00144427,0,0,0,1.98E-04,2.12E-05,0.001639689
472.5,6.81E-05,2.27E-05,0.857882068,0.001291596,0,0,0,2.28E-04,2.05E-05,0.001665369
475,6.25E-05,1.68E-05,0.58881285,0.001138922,0,0,0,2.58E-04,1.99E-05,0.002180894
477.5,5.70E-05,1.09E-05,0.206371814,9.86E-04,0,0,0,2.88E-04,1.92E-05,0.007231351
480,5.14E-05,4.99E-06,0.029059087,8.34E-04,0,0,0,3.17E-04,1.85E-05,0.095702624
482.5,4.84E-05,4.29E-06,0.003778606,0.001078276,0,0,0,4.34E-04,2.26E-05,0.584565938
485,4.53E-05,3.58E-06,8.00E-04,0.001322977,0,0,0,5.51E-04,2.68E-05,0.954454261
487.5,4.23E-05,2.88E-06,2.05E-04,0.001567679,0,0,0,6.67E-04,3.09E-05,0.987333489
490,3.92E-05,2.18E-06,3.02E-05,0.00181238,0,0,0,7.84E-04,3.50E-05,0.989294085
492.5,3.57E-05,4.55E-06,3.51E-05,0.001389418,0,0,0,0.00103526,4.47E-05,0.591750006
495,3.21E-05,6.92E-06,2.04E-07,9.66E-04,0,0,0,0.00128673,5.44E-05,0.041369135
497.5,2.86E-05,9.29E-06,2.00E-05,5.43E-04,0,0,0,0.0015382,6.41E-05,0.001072196
500,2.50E-05,1.17E-05,8.01E-06,1.21E-04,0,0,0,0.00178967,7.37E-05,1.97E-04
502.5,2.22E-05,1.01E-05,2.20E-05,1.22E-04,0,0,0,0.001975748,8.24E-05,1.71E-04
505,1.94E-05,8.50E-06,3.60E-05,1.24E-04,0,0,0,0.002161825,9.11E-05,1.44E-04
507.5,1.65E-05,6.91E-06,5.00E-05,1.26E-04,0,0,0,0.002347903,9.97E-05,1.17E-04
