wavelength,chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
0.65,0,0,0,1.58E-04,0.00244,0,0,0
0.6525,0,0,0,0,0.00469,0,0,0
0.655,0,0,0,0,0.00942,0,0,0
0.6575,0,0,0,0,0.02155,0,0,0
0.66,0,0,0,0,0.05452,0,0,0
0.6625,0,0,0,0,1.60E-01,0,0,0
0.665,0,0,0,0,4.14E-01,0,0,0
0.6675,0,0,0,0,7.30E-01,0,0,0
0.67,0,0,0,0,8.65E-01,0,0,0
0.6725,0,0,0,0,0.90807,0,0,0
0.675,0,0,0,0,0.96106,0,0,0
0.6775,0,0,0,0,0.99753,0,0,0
0.68,0,0,0,0,0.95543,0,0,0
0.6825,0,0,0,0,0.7162,0,0,0
0.685,0,0,0,0,0.37433,0,0,0
0.6875,0,0,0,0,0.15294,0,0,0
0.69,0,0,0,0,0.05845,0,0,0
0.6925,0,0,0,0,0.02491,0,0,0
0.695,0,0,0,0,0.01148,0,0,0
0.6975,0,0,0,0,0.00589,0,0,0
0.7,0,0,0,0,0.00319,0,0,0
0.7025,0,0,0,0,0.00187,0,0,0
0.705,0,0,0,0,0.00104,0,0,0
0.7075,0,0,0,0,7.07E-04,0,0,0
0.71,0,0,0,0,5.18E-04,0,0,0
0.7125,0,0,0,0,3.86E-04,0,0,0
0.715,0,0,0,0,2.08E-04,0,0,0
0.7175,0,0,0,0,1.49E-04,0,0,0
0.72,0,0,0,0,2.06E-04,0,0,0
0.7225,0,0,0,0,2.05E-05,0,0,0
0.725,0,0,0,0,1.96E-04,0,0,0
0.7275,0,0,0,0,0,0,0,0
0.73,0,0,0,0,0,0,0,0
0.7325,0,0,0,0,0,0,0,0
0.735,0,0,0,0,0,0,0,0
0.7375,0,0,0,0,0,0,0,0
0.74,0,0,0,0,0,0,0,0
0.7425,0,0,0,0,0,0,0,0
0.745,0,0,0,0,0,0,0,0
0.7475,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0
0.7525,0,0,0,0,0,0,0,0
